value_id,task_id,task,goal_min,goal_max,points
1,1,cardio,0.08,0.5,1.0
1,2,muscles,1.0,2.0,1.5
1,3,stretch,0.5,1.0,1.0
1,4,light cardio,6.0,12.0,0.75
1,5,diet,1.0,3.0,1.0
1,6,doctors,0.0,1.0,1.5
2,1,immigration,1.0,2.0,2.0
3,1,the book,4.0,8.0,1.5
3,2,intake,1.0,4.0,1.0
3,3,misc,0.0,4.0,0.75
5,1,old,6.0,14.0,1.0
5,2,find new inspiration,0.5,2.0,1.5
6,1,sheer joy,3.0,7.0,0.75
6,2,musing,0.5,3.0,1.0
4,1,job hunt,6.0,12.0,1.0
4,2,ml,9.0,18.0,1.25
4,3,leetcode,6.0,9.0,1.0
4,4,probability,3.0,6.0,1.0
4,5,stats,3.0,9.0,1.25
4,6,startup,1.0,4.0,1.25
2,2,startup,1.0,4.0,1.5
