datestr,value_id,task,entry,points
2020-05-17,3,misc,5.0,3.75
2020-05-17,3,misc,2.0,1.5
2020-05-17,5,old,2.0,2.0
2020-05-17,6,sheer joy,1.5,1.12
2020-05-16,1,cardio,0.1,0.1
2020-05-16,1,light cardio,1.0,1.0
2020-05-16,3,the book,2.0,2.0
2020-05-16,3,intake,0.5,0.5
2020-05-16,3,intake,1.5,1.5
2020-05-16,6,sheer joy,1.5,1.5
2020-05-15,1,muscles,0.5,0.5
2020-05-15,1,light cardio,1.0,1.0
2020-05-15,2,immigration,0.5,0.5
2020-05-15,3,misc,1.0,1.0
2020-05-15,3,intake,1.0,1.0
2020-05-15,4,work,4.0,4.0
2020-05-15,5,old,2.0,2.0
2020-05-15,6,musing,1.0,1.0
2020-05-14,1,light cardio,1.0,1.0
2020-05-14,1,stretch,0.25,0.25
2020-05-14,3,the book,1.0,1.0
2020-05-14,4,work,4.0,4.0
2020-05-14,5,old,1.0,1.0
2020-05-14,6,sheer joy,3.0,3.0
2020-05-13,1,muscles,1.0,1.0
2020-05-13,3,misc,2.0,2.0
2020-05-13,4,work,4.0,4.0
2020-05-13,5,old,1.0,1.0
2020-05-13,6,sheer joy,3.0,3.0
2020-05-12,1,light cardio,1.0,1.0
2020-05-12,1,stretch,0.25,0.25
2020-05-12,3,the book,0.5,0.5
2020-05-12,4,work,4.0,4.0
2020-05-12,4,work,1.0,1.0
2020-05-12,5,old,2.0,2.0
2020-05-12,6,sheer joy,3.0,3.0
2020-05-11,1,muscles,1.0,1.0
2020-05-11,1,stretch,0.25,0.25
2020-05-11,3,misc,2.0,2.0
2020-05-11,3,the book,0.5,0.5
2020-05-11,4,work,6.0,6.0
2020-05-11,6,sheer joy,3.0,3.0
2020-05-10,6,sheer joy,4.0,3.0
